HGNC ID	Approved symbol	Approved name	Status	Previous symbols	Alias symbols	Chromosome	Accession numbers
HGNC:5	A1BG	alpha-1-B glycoprotein	Approved			19q13.43	
HGNC:24086	A1CF	APOBEC1 complementation factor	Approved		ACF, ASP, ACF64, ACF65, APOBEC1CF	10q11.23	AF271790
HGNC:7	A2M	alpha-2-macroglobulin	Approved		FWP007, S863-7, CPAMD5	12p13.31	BX647329, X68728, M11313
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	Approved	CPAMD9	FLJ25179, p170	12p13.31	AK057908
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	Approved	A3GALT2P	IGBS3S, IGB3S	1p35.1	
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	Approved	P1	A14GALT, Gb3S, P(k)	22q13.2	
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	Approved		alpha4GnT	3q22.3	AF141315
HGNC:13666	AAAS	aladin WD repeat nucleoporin	Approved			12q13.13	AJ289841
HGNC:21298	AACS	acetoacetyl-CoA synthetase	Approved		FLJ12389, SUR-5, ACSF1	12q24.31	AK022451
HGNC:17	AADAC	arylacetamide deacetylase	Approved		DAC, CES5A1	3q25.1	L32179
HGNC:24427	AADACL2	arylacetamide deacetylase like 2	Approved		MGC72001	3q25.1	BC065724
HGNC:32037	AADACL3	arylacetamide deacetylase like 3	Approved		OTTHUMG00000001887	1p36.21	
HGNC:32038	AADACL4	arylacetamide deacetylase like 4	Approved		OTTHUMG00000001889	1p36.21	
HGNC:17929	AADAT	aminoadipate aminotransferase	Approved		KATII, KAT2, KYAT2	4q33	AF097994
HGNC:25662	AAGAB	alpha and gamma adaptin binding protein	Approved		FLJ11506, p34	15q23	AL136715
HGNC:19679	AAK1	AP2 associated kinase 1	Approved		KIAA1048, DKFZp686K16132	2p13.3	AB028971
HGNC:30205	AAMDC	adipogenesis associated Mth938 domain containing	Approved	C11orf67	PTD015, FLJ21035, CK067	11q14.1	BC016854
HGNC:18	AAMP	angio associated migratory cell protein	Approved			2q35	AB209790
HGNC:19	AANAT	aralkylamine N-acetyltransferase	Approved		SNAT	17q25.1	U40347
HGNC:15886	AAR2	AAR2 splicing factor	Approved	C20orf4	bA234K24.2	20q11.23	
HGNC:33842	AARD	alanine and arginine rich domain containing protein	Approved	C8orf85	LOC441376	8q24.11	AB181519, BC140924
HGNC:20	AARS1	alanyl-tRNA synthetase 1	Approved	AARS	CMT2N, AlaRS	16q22.1	D32050
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	Approved	AARSL	KIAA1270, bA444E17.1	6p21.1	AB033096
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1	Approved		MGC2744, AlaXp	17q21.31	BC004172
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase	Approved		NRPS998, LYS2, ACSF4	4q12	AF516672
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Approved		LYS5, CGI-80, AASD-PPT, ACPS	11q22.3	AF302110
HGNC:17366	AASS	aminoadipate-semialdehyde synthase	Approved		LORSDH, LKRSDH	7q31.32	AF229180
HGNC:19235	AATF	apoptosis antagonizing transcription factor	Approved		DED, CHE-1, CHE1, BFR2	17q12	AF083208
HGNC:21	AATK	apoptosis associated tyrosine kinase	Approved		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	17q25.3	AB014541
HGNC:23	ABAT	4-aminobutyrate aminotransferase	Approved		GABAT, GABA-T	16p13.2	L32961
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	Approved	ABC1, HDLDT1	TGD	9q31.1	AJ012376
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	Approved	ABC2		9q34.3	U18235
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	Approved	ABC3	ABC-C, EST111653, LBM180	16p13.3	U78735
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	Approved	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3	1p22.1	U88667
HGNC:35	ABCA5	ATP binding cassette subfamily A member 5	Approved		EST90625	17q24.3	U66672
HGNC:36	ABCA6	ATP binding cassette subfamily A member 6	Approved		EST155051	17q24.2-q24.3	U66680
HGNC:37	ABCA7	ATP binding cassette subfamily A member 7	Approved		ABCX	19p13.3	AF328787
HGNC:38	ABCA8	ATP binding cassette subfamily A member 8	Approved		KIAA0822	17q24.2	AB020629
HGNC:39	ABCA9	ATP binding cassette subfamily A member 9	Approved		EST640918	17q24.2	AF423307
HGNC:30	ABCA10	ATP binding cassette subfamily A member 10	Approved		EST698739	17q24.3	AY247065
HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	Approved	ICR2B	DKFZP434G232, LI2	2q35	AF418105
HGNC:14638	ABCA13	ATP binding cassette subfamily A member 13	Approved		FLJ33876, FLJ33951	7p12.3	AY204751
HGNC:40	ABCB1	ATP binding cassette subfamily B member 1	Approved	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20, p-170, PGY1	7q21.12	M14758
HGNC:45	ABCB4	ATP binding cassette subfamily B member 4	Approved	PGY3, MDR3	MDR2, PFIC-3, GBD1	7q21.12	M23234
HGNC:46	ABCB5	ATP binding cassette subfamily B member 5	Approved		EST422562, ABCB5beta, ABCB5alpha	7p21.1	U66692
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	Approved		EST45597, umat, MTABC3	2q35	AF070598
HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	Approved	ABC7	EST140535, Atm1p, ASAT	Xq13.3	AF038950
HGNC:49	ABCB8	ATP binding cassette subfamily B member 8	Approved		EST328128, M-ABC1, MABC1, MITOSUR	7q36.1	AF047690
HGNC:50	ABCB9	ATP binding cassette subfamily B member 9	Approved		EST122234	12q24.31	U66676
HGNC:41	ABCB10	ATP binding cassette subfamily B member 10	Approved		EST20237, M-ABC2, MTABC2	1q42.13	U18237
HGNC:42	ABCB11	ATP binding cassette subfamily B member 11	Approved	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4	2q31.1	AF091582
HGNC:51	ABCC1	ATP binding cassette subfamily C member 1	Approved	MRP, MRP1	GS-X	16p13.11	L05628
HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	Approved	CMOAT	DJS, MRP2, cMRP	10q24.2	U63970
